tab_code,表章項目,cat01_code,産業分類,cat02_code,性別_基本,area_code,地域,time_code,時間軸（2020～2023）,unit,value,annotation
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,6000,山形県,2023000000,2023年,千円,305.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,6000,山形県,2022000000,2022年,千円,298.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,6000,山形県,2021000000,2021年,千円,252.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,6000,山形県,2020000000,2020年,千円,282.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,7000,福島県,2023000000,2023年,千円,311.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,7000,福島県,2022000000,2022年,千円,276.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,7000,福島県,2021000000,2021年,千円,276.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,7000,福島県,2020000000,2020年,千円,286.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,8000,茨城県,2023000000,2023年,千円,285.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,8000,茨城県,2022000000,2022年,千円,324.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,8000,茨城県,2021000000,2021年,千円,283.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,8000,茨城県,2020000000,2020年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,9000,栃木県,2023000000,2023年,千円,293.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,9000,栃木県,2022000000,2022年,千円,310.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,9000,栃木県,2021000000,2021年,千円,296.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,9000,栃木県,2020000000,2020年,千円,311.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,10000,群馬県,2023000000,2023年,千円,224.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,10000,群馬県,2022000000,2022年,千円,248.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,10000,群馬県,2021000000,2021年,千円,306.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,10000,群馬県,2020000000,2020年,千円,294.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,11000,埼玉県,2023000000,2023年,千円,304.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,11000,埼玉県,2022000000,2022年,千円,295.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,11000,埼玉県,2021000000,2021年,千円,303.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,11000,埼玉県,2020000000,2020年,千円,301.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,12000,千葉県,2023000000,2023年,千円,365.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,12000,千葉県,2022000000,2022年,千円,350.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,12000,千葉県,2021000000,2021年,千円,356.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,12000,千葉県,2020000000,2020年,千円,386.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,13000,東京都,2023000000,2023年,千円,601.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,13000,東京都,2022000000,2022年,千円,563.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,13000,東京都,2021000000,2021年,千円,532.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,13000,東京都,2020000000,2020年,千円,555.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,14000,神奈川県,2023000000,2023年,千円,353.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,14000,神奈川県,2022000000,2022年,千円,321.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,14000,神奈川県,2021000000,2021年,千円,315.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,14000,神奈川県,2020000000,2020年,千円,327.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,15000,新潟県,2023000000,2023年,千円,381.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,15000,新潟県,2022000000,2022年,千円,357.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,15000,新潟県,2021000000,2021年,千円,337.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,15000,新潟県,2020000000,2020年,千円,369.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,16000,富山県,2023000000,2023年,千円,308.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,16000,富山県,2022000000,2022年,千円,316.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,16000,富山県,2021000000,2021年,千円,287.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,16000,富山県,2020000000,2020年,千円,302.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,17000,石川県,2023000000,2023年,千円,385.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,17000,石川県,2022000000,2022年,千円,349.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,17000,石川県,2021000000,2021年,千円,369.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,17000,石川県,2020000000,2020年,千円,300.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,18000,福井県,2023000000,2023年,千円,383.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,18000,福井県,2022000000,2022年,千円,363.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,18000,福井県,2021000000,2021年,千円,354.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,18000,福井県,2020000000,2020年,千円,358.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,19000,山梨県,2023000000,2023年,千円,291.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,19000,山梨県,2022000000,2022年,千円,324.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,19000,山梨県,2021000000,2021年,千円,309.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,19000,山梨県,2020000000,2020年,千円,293.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,20000,長野県,2023000000,2023年,千円,300.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,20000,長野県,2022000000,2022年,千円,275.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,20000,長野県,2021000000,2021年,千円,276.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,20000,長野県,2020000000,2020年,千円,267.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,21000,岐阜県,2023000000,2023年,千円,297.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,21000,岐阜県,2022000000,2022年,千円,282.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,21000,岐阜県,2021000000,2021年,千円,275.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,21000,岐阜県,2020000000,2020年,千円,243.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,22000,静岡県,2023000000,2023年,千円,280.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,22000,静岡県,2022000000,2022年,千円,323.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,22000,静岡県,2021000000,2021年,千円,290.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,22000,静岡県,2020000000,2020年,千円,258.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,23000,愛知県,2023000000,2023年,千円,307.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,23000,愛知県,2022000000,2022年,千円,345.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,23000,愛知県,2021000000,2021年,千円,303.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,23000,愛知県,2020000000,2020年,千円,290.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,24000,三重県,2023000000,2023年,千円,308.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,24000,三重県,2022000000,2022年,千円,290.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,24000,三重県,2021000000,2021年,千円,299.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,24000,三重県,2020000000,2020年,千円,266.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,25000,滋賀県,2023000000,2023年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,25000,滋賀県,2022000000,2022年,千円,254.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,25000,滋賀県,2021000000,2021年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,25000,滋賀県,2020000000,2020年,千円,261.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,26000,京都府,2023000000,2023年,千円,318.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,26000,京都府,2022000000,2022年,千円,305.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,26000,京都府,2021000000,2021年,千円,304.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,26000,京都府,2020000000,2020年,千円,317.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,27000,大阪府,2023000000,2023年,千円,308.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,27000,大阪府,2022000000,2022年,千円,374.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,27000,大阪府,2021000000,2021年,千円,314.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,27000,大阪府,2020000000,2020年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,28000,兵庫県,2023000000,2023年,千円,402.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,28000,兵庫県,2022000000,2022年,千円,314.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,28000,兵庫県,2021000000,2021年,千円,342.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,28000,兵庫県,2020000000,2020年,千円,336.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,29000,奈良県,2023000000,2023年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,29000,奈良県,2022000000,2022年,千円,367.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,29000,奈良県,2021000000,2021年,千円,385.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,29000,奈良県,2020000000,2020年,千円,381.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,30000,和歌山県,2023000000,2023年,千円,343.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,30000,和歌山県,2022000000,2022年,千円,318.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,30000,和歌山県,2021000000,2021年,千円,290.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,30000,和歌山県,2020000000,2020年,千円,316.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,31000,鳥取県,2023000000,2023年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,31000,鳥取県,2022000000,2022年,千円,210.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,31000,鳥取県,2021000000,2021年,千円,213.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,31000,鳥取県,2020000000,2020年,千円,-,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,32000,島根県,2023000000,2023年,千円,236.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,32000,島根県,2022000000,2022年,千円,249.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,32000,島根県,2021000000,2021年,千円,253.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,32000,島根県,2020000000,2020年,千円,259.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,33000,岡山県,2023000000,2023年,千円,309.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,33000,岡山県,2022000000,2022年,千円,259.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,33000,岡山県,2021000000,2021年,千円,310.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,33000,岡山県,2020000000,2020年,千円,327.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,34000,広島県,2023000000,2023年,千円,226.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,34000,広島県,2022000000,2022年,千円,295.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,34000,広島県,2021000000,2021年,千円,308.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,34000,広島県,2020000000,2020年,千円,245.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,35000,山口県,2023000000,2023年,千円,289.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,35000,山口県,2022000000,2022年,千円,305.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,35000,山口県,2021000000,2021年,千円,278.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,35000,山口県,2020000000,2020年,千円,280.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,36000,徳島県,2023000000,2023年,千円,245.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,36000,徳島県,2022000000,2022年,千円,230.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,36000,徳島県,2021000000,2021年,千円,262.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,36000,徳島県,2020000000,2020年,千円,245.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,37000,香川県,2023000000,2023年,千円,301.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,37000,香川県,2022000000,2022年,千円,277.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,37000,香川県,2021000000,2021年,千円,296.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,37000,香川県,2020000000,2020年,千円,274.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,38000,愛媛県,2023000000,2023年,千円,223.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,38000,愛媛県,2022000000,2022年,千円,220.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,38000,愛媛県,2021000000,2021年,千円,211.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,38000,愛媛県,2020000000,2020年,千円,216.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,39000,高知県,2023000000,2023年,千円,332.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,39000,高知県,2022000000,2022年,千円,325.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,39000,高知県,2021000000,2021年,千円,308.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,39000,高知県,2020000000,2020年,千円,319.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,40000,福岡県,2023000000,2023年,千円,347.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,40000,福岡県,2022000000,2022年,千円,289.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,40000,福岡県,2021000000,2021年,千円,328.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,40000,福岡県,2020000000,2020年,千円,294.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,41000,佐賀県,2023000000,2023年,千円,273.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,41000,佐賀県,2022000000,2022年,千円,267.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,41000,佐賀県,2021000000,2021年,千円,266.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,41000,佐賀県,2020000000,2020年,千円,259.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,42000,長崎県,2023000000,2023年,千円,347.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,42000,長崎県,2022000000,2022年,千円,239.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,42000,長崎県,2021000000,2021年,千円,245.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,42000,長崎県,2020000000,2020年,千円,209.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,43000,熊本県,2023000000,2023年,千円,247.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,43000,熊本県,2022000000,2022年,千円,253.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,43000,熊本県,2021000000,2021年,千円,238.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,43000,熊本県,2020000000,2020年,千円,254.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,44000,大分県,2023000000,2023年,千円,318.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,44000,大分県,2022000000,2022年,千円,279.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,44000,大分県,2021000000,2021年,千円,331.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,44000,大分県,2020000000,2020年,千円,293.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,45000,宮崎県,2023000000,2023年,千円,245.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,45000,宮崎県,2022000000,2022年,千円,249.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,45000,宮崎県,2021000000,2021年,千円,235.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,45000,宮崎県,2020000000,2020年,千円,237.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,46000,鹿児島県,2023000000,2023年,千円,333.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,46000,鹿児島県,2022000000,2022年,千円,305.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,46000,鹿児島県,2021000000,2021年,千円,334.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,46000,鹿児島県,2020000000,2020年,千円,281.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,47000,沖縄県,2023000000,2023年,千円,220.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,47000,沖縄県,2022000000,2022年,千円,275.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,47000,沖縄県,2021000000,2021年,千円,254.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,47000,沖縄県,2020000000,2020年,千円,241.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,0,全国,2023000000,2023年,千円,376.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,0,全国,2022000000,2022年,千円,357.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,0,全国,2021000000,2021年,千円,333.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,0,全国,2020000000,2020年,千円,350.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,1000,北海道,2023000000,2023年,千円,292.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,1000,北海道,2022000000,2022年,千円,343.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,1000,北海道,2021000000,2021年,千円,287.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,1000,北海道,2020000000,2020年,千円,313.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,2000,青森県,2023000000,2023年,千円,299.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,2000,青森県,2022000000,2022年,千円,291.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,2000,青森県,2021000000,2021年,千円,288.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,2000,青森県,2020000000,2020年,千円,278.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,3000,岩手県,2023000000,2023年,千円,250.5,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,3000,岩手県,2022000000,2022年,千円,254.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,3000,岩手県,2021000000,2021年,千円,250.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,3000,岩手県,2020000000,2020年,千円,266.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,4000,宮城県,2023000000,2023年,千円,302.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,4000,宮城県,2022000000,2022年,千円,288.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,4000,宮城県,2021000000,2021年,千円,280.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,4000,宮城県,2020000000,2020年,千円,304.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,5000,秋田県,2023000000,2023年,千円,270.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,5000,秋田県,2022000000,2022年,千円,258.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,5000,秋田県,2021000000,2021年,千円,239.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,5000,秋田県,2020000000,2020年,千円,268.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,6000,山形県,2023000000,2023年,千円,316.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,2,男,6000,山形県,2022000000,2022年,千円,311.1,
